head,relation,tail
振捣,use_material,混凝土
振捣,use_equipment,振捣棒
振捣,use_equipment,振动棒
气泡,appear_on_location,混凝土表面
气泡,appear_on_location,侧模
气泡,appear_on_location,混凝土的切割端面
气泡,appear_on_location,构件靠模的侧面
蜂窝麻面,affect_compnent,加宽管片
蜂窝麻面,has_Measures,要求施工班组对蜂窝麻面区域区域实施临时支护措施。
蜂窝麻面,affect_compnent,管片
蜂窝麻面,has_Measures,应立即开展蜂窝麻面区域复核并形成整改记录。
蜂窝麻面,has_Measures,体积稍大的先凿除蜂窝处松散混凝土颗粒，用水洗刷干净后再用水泥砂浆掺修补胶修补
蜂窝麻面,appear_on_location,右线十环
蜂窝麻面,has_Measures,建议对蜂窝麻面区域进行加固处理并上报监理。
蜂窝麻面,has_Measures,现场已下发蜂窝麻面区域整改通知单，需跟踪闭合。
脱模,use_equipment,模具
脱模,control_Parameter,养护温度
养护,control_Parameter,养护温度
蒸汽养护,use_equipment,蒸养罩
蒸汽养护,control_Parameter,养护温度
搅拌,use_equipment,振动棒
蜂窝,has_Measures,对蜂窝麻面区域部位已安排专项验收，请相关责任人签字确认。
蜂窝,has_Measures,要求施工班组对蜂窝麻面区域区域实施临时支护措施。
蜂窝,affect_compnent,管片
蜂窝,has_Measures,应立即开展蜂窝麻面区域复核并形成整改记录。
蜂窝,appear_on_location,右线四十二环
蜂窝,has_Measures,建议对蜂窝麻面区域进行加固处理并上报监理。
蜂窝,has_Measures,现场已下发蜂窝麻面区域整改通知单，需跟踪闭合。
浇筑,use_material,混凝土
浇筑,use_equipment,振捣棒
浇筑,use_equipment,振动棒
缺棱掉角,has_Measures,应立即开展掉角破损处复核并形成整改记录。
蜂窝空洞,has_Measures,要求施工班组对蜂窝麻面区域区域实施临时支护措施。
静停,control_Parameter,静停时间
龟裂纹,appear_on_location,混凝土的切割端面
龟裂纹,appear_on_location,管片侧面
龟裂纹,appear_on_location,端面
蒸养,control_Parameter,升降温速度
蒸养,control_Parameter,养护温度
缺角,affect_compnent,管片
缺角,has_Measures,应立即开展掉角破损处复核并形成整改记录。
混凝土振捣,use_equipment,振捣棒
混凝土振捣,use_equipment,振动器
混凝土振捣,use_equipment,振动棒
混凝土振捣,control_Parameter,振捣时间
螺栓,has_Measures,应立即开展螺栓松动位置复核并形成整改记录。
浇筑振捣,use_material,混凝土
浇筑振捣,use_equipment,振捣棒
浇筑振捣,use_equipment,振动器
浇筑振捣,use_equipment,振动棒
浇筑振捣,control_Parameter,振捣时间
裂缝,has_Measures,要求施工班组对裂缝扩展段区域实施临时支护措施。
裂缝,has_Measures,应立即开展裂缝扩展段复核并形成整改记录。
裂缝,has_Measures,需对裂缝扩展段部位加强巡查并做好风险提示牌。
裂缝,has_Measures,现场已下发裂缝扩展段整改通知单，需跟踪闭合。
